00:00:11.000,00:00:19.000
00:00:28.000,00:00:35.000
00:00:36.000,00:00:43.000
00:00:44.000,00:00:51.000
00:00:52.000,00:00:56.000
00:01:00.000,00:01:06.000
00:01:08.000,00:01:14.000
00:01:15.000,00:01:23.000
00:01:31.000,00:01:38.000
00:01:39.000,00:01:46.000
00:01:47.000,00:01:54.000
00:01:55.000,00:02:03.000
00:02:05.000,00:02:11.000
00:02:13.000,00:02:20.000
00:02:29.000,00:02:36.000
00:02:38.000,00:02:44.000
00:02:45.000,00:02:52.000
00:02:54.000,00:03:02.000
00:03:03.000,00:03:10.000
00:03:11.000,00:03:17.000
00:03:19.000,00:03:26.000
00:03:27.000,00:03:34.000
00:03:35.000,00:03:43.000
00:03:43.000,00:03:50.000
00:03:52.000,00:03:58.000
00:03:59.000,00:04:05.000
00:04:07.000,00:04:12.000
00:04:21.000,00:04:28.000
